Ime;Višinska_razlika;Zahtevnost;Čas
Lovska koča na Planinski gori;250;lahka neoznačena steza;60
Lovska koča na Planinski gori;421;lahka neoznačena steza;55
Lovska koča na Planinski gori;425;lahka neoznačena steza;55
Lovska koča Plehanov laz;280;lahka neoznačena steza;70
Lovska koča Trešnja ravan;240;lahka označena pot;110
Lovska koča Urška;178;lahka označena pot;45
Lovska koča Vojkovo;475;lahka označena pot;75
Lovska koča Vojkovo;625;lahka označena pot;135
Lovska koča Vojkovo;550;lahka označena pot;90
Lovska koča Vojkovo;550;lahka označena pot;90
Lovska koča Vojkovo;625;lahka označena pot;135
Lovski dom pod Glavico;116;lahka neoznačena steza;45
Lovski dom pod Glavico;150;lahka neoznačena steza;45
Lovsko zavetišče Kolombar;175;lahka označena pot;55
Lovsko zavetišče Kolombar;155;lahka označena pot;40
Lovsko zavetišče pod Čavnom;580;lahka neoznačena steza;110
Maj;486;delno zahtevna neoznačena pot;80
Mala gora;315;delno zahtevna označena pot;90
Mala gora;784;lahka označena pot;120
Mala gora;749;lahka označena pot;120
Mala gora;674;lahka označena pot;135
Mala Plešivica;193;lahka označena pot;35
Mala Plešivica;225;lahka neoznačena steza, lahka označena pot;75
Mali Golak;600;lahka označena pot;120
Mali Golak;400;lahka označena pot;85
Mali Golak;278;lahka označena pot;45
Mali Golak;427;lahka označena pot;65
Mali Golak;350;lahka označena pot;120
Mali Javornik (Javorniki);331;lahka označena pot;60
Mali Javornik (Javorniki);580;lahka označena pot;110
Mali Modrasovec;285;lahka označena pot, lahka neoznačena steza;70
Mali Modrasovec;1135;lahka označena pot, lahka neoznačena steza;160
Mali Modrasovec;440;lahka označena pot;85
Mali Mošenik;160;lahka neoznačena steza;20
Mali Snežnik;269;lahka označena pot;60
Mali Snežnik;465;lahka označena pot;110
Mali Snežnik;522;lahka označena pot;90
Mali Snežnik;725;lahka označena pot;215
Mali Trebelnik;470;lahka označena pot;90
Mali Trebelnik;512;lahka označena pot;105
Marezige;310;lahka označena pot;105
Marezige;280;lahka označena pot;60
Marija Snežna na Gradišcah;90;lahka neoznačena steza;40
Marija Snežna na Gradišcah;60;lahka označena pot;25
Marutnik;210;lahka označena pot, lahka neoznačena steza;50
Marutnik;215;lahka označena pot, lahka neoznačena steza;55
Medvedje Brdo;268;lahka označena pot;75
Medvedje Brdo;230;lahka označena pot;75
Medvedje Brdo;209;lahka neoznačena steza;70
Medvedje Brdo;110;lahka označena pot;45
Medvedje Brdo;350;lahka označena pot;190
Medvedje Brdo;355;lahka označena pot;195
Medvižica;350;lahka označena pot;105
Medvižica;375;lahka neoznačena steza, lahka označena pot;105
Mengore;238;lahka neoznačena steza;40
Mengore;200;lahka neoznačena steza;30
Milanka;165;lahka neoznačena steza;75
Mišnice;50;lahka neoznačena steza;20
Mišnice;65;lahka neoznačena steza;20
Mokrc;170;lahka označena pot;40
Mrzovec;350;lahka označena pot;90
Mrzovec;400;lahka neoznačena steza;150
Mrzovec;570;lahka neoznačena steza;160
Na gradu;225;lahka označena pot;85
Na gradu;175;lahka označena pot;30
Nadglavinjak;540;lahka označena pot;130
Nagnoj;380;lahka označena pot;100
Nagnoj;78;lahka označena pot;15
Navrše;615;lahka označena pot;95
