Ime;Višinska_razlika;Zahtevnost;Čas
Gonžarjeva peč;125;lahka označena pot;30
Govca (Olševa);720;zahtevna označena pot;130
Govca (Olševa);560;lahka označena pot;105
Govca (Olševa);705;lahka označena pot;180
Govca (Olševa);1252;delno zahtevna označena pot;225
Govca (Olševa);740;zahtevna označena pot;150
Govca (Olševa);710;zahtevna označena pot;135
Govca (Olševa);860;lahka označena pot;225
Govca (Olševa);735;zahtevna označena pot;145
Govca (Olševa);555;lahka neoznačena steza;105
Govca (Olševa);875;lahka označena pot;270
Govca (Olševa);1150;lahka označena pot, lahka neoznačena steza;285
Govca (Olševa);1215;lahka neoznačena steza, lahka označena pot;270
Govca (Olševa);1215;lahka neoznačena steza, lahka označena pot;255
Govca (Olševa);1215;lahka neoznačena steza, lahka označena pot;265
Govševa planina;210;lahka označena pot;105
Govševa planina;225;lahka označena pot;150
Grad Konjice;182;lahka označena pot;30
Grad Konjice;190;lahka označena pot;30
Grad Lindek;260;lahka označena pot;45
Gradišče nad Sotesko (Soteska);154;lahka neoznačena steza;30
Grilova kapela na Boču;515;lahka označena pot;120
Grilova kapela na Boču;515;lahka označena pot;140
Grilova kapela na Boču;259;lahka označena pot;45
Grobnica barona Borna;38;lahka neoznačena steza;7
Grpišca;735;lahka neoznačena steza;120
Gubno;970;delno zahtevna označena pot, lahka neoznačena steza;155
Gubno;920;delno zahtevna označena pot, lahka neoznačena steza;180
Gubno;1300;zahtevna označena pot, lahka neoznačena steza;300
Hajnževo sedlo;751;lahka označena pot;125
Hajnževo sedlo;750;zahtevna označena pot;165
Hajnževo sedlo;790;zahtevna označena pot;165
Hajnževo sedlo;1045;lahka označena pot;210
Hom (nad Prevaljami);800;lahka neoznačena steza;180
Hom (nad Prevaljami);700;lahka neoznačena steza;160
Hrašenska planina;731;lahka neoznačena steza;120
Hrašenska planina;350;lahka neoznačena steza;60
Hribarska (Huda) zijalka;500;zahtevna neoznačena steza;60
Hruška planina;203;lahka neoznačena steza;30
Hruška planina;768;lahka neoznačena steza;120
Hruški vrh;860;lahka označena pot;150
Hruški vrh;576;lahka označena pot;120
Hruški vrh;601;lahka neoznačena steza;95
Hruški vrh;750;lahka neoznačena steza;145
Hruški vrh;626;lahka neoznačena steza;105
Hruški vrh;1166;lahka neoznačena steza;180
Hruški vrh;615;lahka neoznačena steza;100
Hruški vrh;1160;lahka označena pot;230
Hruški vrh;1200;lahka označena pot;240
Hvadnik;250;zelo zahtevna označena pot;120
Izvir Javornika;61;lahka označena pot;15
Izvir reke Meže;15;lahka označena pot;8
Izvir Sotle;315;lahka označena pot;90
Izvir Sotle;350;lahka označena pot;165
Izvir Sotle;360;lahka označena pot;100
Izvir Sotle;350;lahka označena pot;75
Izvir Sotle;340;lahka označena pot;75
Javorče;580;lahko brezpotje;125
Javorče;867;lahko brezpotje;155
Javorniški slapovi;100;delno zahtevna neoznačena pot;30
Jelenkamen;496;delno zahtevna označena pot;80
Jelenkamen;536;lahka neoznačena steza;75
Jelenkamen;536;delno zahtevna neoznačena pot;95
Jelenkamen;496;lahka neoznačena steza;80
Jelenkamen;496;delno zahtevna neoznačena pot;75
Jerebikovec;548;lahka neoznačena steza;80
Jerman;180;izjemno zahtevna označena pot;70
Jesenik (Jesenikov vrh);704;lahka neoznačena steza;120
Jesenik (Jesenikov vrh);250;lahka neoznačena steza;65
Jesenik (Jesenikov vrh);710;lahka neoznačena steza;125
Jesenik (Jesenikov vrh);375;lahka neoznačena steza;105
Jeseniška planina;450;lahka označena pot;90
Jeseniška planina;230;lahka neoznačena steza;45
Jezero Završnica;35;lahka označena pot;25
Joški vrh;315;lahka neoznačena steza;120
Joški vrh;300;lahka neoznačena steza;65
Joški vrh;25;lahka neoznačena steza;15
Joški vrh;270;lahka neoznačena steza;65
Joški vrh;245;lahka neoznačena steza;75
Joški vrh;320;lahka neoznačena steza;95
Jureževa planina;528;lahka neoznačena steza;90
Kališje;415;lahka neoznačena steza;100
Kalvarija nad Jesenicami;184;lahka označena pot;25
Kalvarija nad Jesenicami;204;lahka neoznačena steza;35
Kamnati vrh;650;lahka neoznačena steza;120
Kamnati vrh;585;lahka označena pot;120
Kamnek;343;lahka označena pot;60
Kamnek;355;lahka neoznačena steza;65
Kamnek;333;lahka označena pot;55
Kamnek;355;delno zahtevna označena pot;65
Kamnek;340;lahka neoznačena steza;60
Kamnek;333;delno zahtevna označena pot;55
Kamnitnik;550;lahka neoznačena steza, lahko brezpotje;105
Kamnitnik;919;lahka neoznačena steza, lahko brezpotje;165
Kapelica Marijina roka (Stenica);620;lahka označena pot;100
Kapelica Marijina roka (Stenica);620;lahka neoznačena steza;100
Kapelica Srca Jezusovega (Jelendol);45;lahka neoznačena steza;8
Kapelica sv. Barbare na Pejcah;160;lahka neoznačena steza;25
Kepa;1451;zahtevna označena pot;255
Kepa;1200;zahtevna označena pot;230
Kepa;1100;zahtevna označena pot;255
Kepa;1550;zelo zahtevna neoznačena steza;240
Kepa;1150;zahtevna neoznačena steza;240
Kepa;1550;zahtevna označena pot;240
Kepa;1000;zahtevna označena pot;180
Kepa;1540;zahtevna označena pot;310
Kepa;1480;zahtevna označena pot;305
Klek;800;lahka neoznačena steza;140
Klek;603;lahka neoznačena steza;95
Klek;578;lahka neoznačena steza;90
Klek;800;lahka neoznačena steza;150
Klek;773;lahka neoznačena steza;180
Klek;700;zahtevna neoznačena steza;125
Klek;790;lahko brezpotje;135
Klek;1140;lahka neoznačena steza;220
Koča na Golici;602;lahka označena pot;90
Koča na Golici;375;lahka označena pot;80
Koča na Golici;620;lahka označena pot;125
Koča na Golici;602;delno zahtevna označena pot;90
Koča na Golici;602;lahka neoznačena steza;125
Koča na Ljubelju;312;lahka označena pot;45
Koča na Ljubelju;360;lahka označena pot;60
Koča na Ljubelju;385;lahka neoznačena steza;65
Koča na Naravskih ledinah;100;lahka označena pot;90
Koča na Naravskih ledinah;492;lahka označena pot;90
Koča na Naravskih ledinah;420;lahka označena pot;105
Koča na Naravskih ledinah;715;lahka označena pot;190
Koča na Naravskih ledinah;670;lahka označena pot;175
Koča na Naravskih ledinah;825;lahka označena pot;225
Koča na Naravskih ledinah;615;lahka označena pot;160
Koča na Naravskih ledinah;630;lahka neoznačena steza;170
Koča na Pikovem;367;lahka označena pot;75
Koča na Pikovem;428;lahka označena pot;75
Koča na Pikovem;540;lahka označena pot;120
Koča na Pikovem;530;lahka označena pot;120
Koča na Pikovem;575;lahka označena pot;135
Koča na Pikovem;175;lahka neoznačena steza;75
Koča na Pikovem;112;lahka označena pot;20
Koča na Pikovem;465;lahka neoznačena steza;100
Koča na planini Preval-a;300;delno zahtevna neoznačena pot;90
Koča na planini Preval-a;541;lahka označena pot;90
Koča na planini Preval-a;622;delno zahtevna označena pot;90
Koča na planini Preval-a;700;lahka neoznačena steza;135
Koča Pr Zdravc;648;lahka označena pot;120
Koča Pr Zdravc;360;lahka označena pot;90
Koča Pr Zdravc;440;lahka označena pot;95
Koča Pr Zdravc;263;lahka neoznačena steza;45
Koča Pr Zdravc;648;lahka označena pot;120
Koča Vrtača;230;lahka označena pot;40
Kofce gora;1052;delno zahtevna označena pot;155
Kofce gora;687;delno zahtevna označena pot;90
Kofce gora;439;lahka neoznačena steza, delno zahtevna označena pot;75
Kofce gora;917;delno zahtevna označena pot;135
Kofce gora;1236;delno zahtevna označena pot;165
Kofce gora;1236;delno zahtevna označena pot;170
Končnikov vrh;1480;zelo zahtevna označena pot;255
Končnikov vrh;416;lahka označena pot;90
Končnikov vrh;950;lahka označena pot;195
Končnikov vrh;825;lahka označena pot;165
Končnikov vrh;945;lahka označena pot;175
Končnikov vrh;825;zelo zahtevna označena pot;165
Končnikov vrh;1480;lahka označena pot;270
Končnikov vrh;1040;lahka neoznačena steza;150
Končnikov vrh;930;lahka označena pot;195
Končnikov vrh;1685;lahka označena pot;345
Kordeževa glava (Peca);715;lahka označena pot;135
Kordeževa glava (Peca);715;zelo zahtevna označena pot;135
Kordeževa glava (Peca);1100;lahka označena pot;210
Kordeževa glava (Peca);1045;lahka neoznačena steza;165
Kordeževa glava (Peca);1550;zelo zahtevna označena pot;330
Kordeževa glava (Peca);1285;lahka označena pot;255
Kordeževa glava (Peca);1100;lahka označena pot;240
Kordeževa glava (Peca);1120;zelo zahtevna označena pot;210
Kordeževa glava (Peca);480;lahka označena pot;135
Kordeževa glava (Peca);1270;zelo zahtevna označena pot;255
Kordeževa glava (Peca);1000;lahka označena pot;205
Kordeževa glava (Peca);1000;lahka označena pot;230
Kordeževa glava (Peca);1550;lahka označena pot;315
Kordeževa glava (Peca);1835;lahka označena pot;390
Kordeževa glava (Peca);1675;lahka označena pot;300
Kordeževa glava (Peca);1670;zelo zahtevna označena pot;300
Kordeževa glava (Peca);1180;zelo zahtevna označena pot;225
Kordeževa glava (Peca);1320;lahka označena pot;240
Kordeževa glava (Peca);1180;lahka označena pot;255
Kordeževa glava (Peca);1320;zelo zahtevna označena pot;240
Kordeževa glava (Peca);1510;lahka označena pot;280
Kordeževa glava (Peca);1510;zelo zahtevna označena pot;280
Košutica;1000;zahtevna označena pot;165
Košutica;1018;delno zahtevna označena pot;170
Košutica;968;lahka neoznačena steza, delno zahtevna označena pot;160
Košutica;1018;zahtevna neoznačena steza;170
Košutica;1000;zelo zahtevna neoznačena steza;180
Košutica;1040;zahtevna označena pot;165
Košutica;1320;zahtevna označena pot;255
Košutica;1345;delno zahtevna označena pot;285
Košutnikov turn;883;zahtevna označena pot;135
Košutnikov turn;1050;izjemno zahtevna označena pot;270
Košutnikov turn;853;zelo zahtevna označena pot;165
Košutnikov turn;883;zahtevna označena pot;150
Košutnikov turn;1185;zelo zahtevna označena pot;240
Košutnikov turn;1385;izjemno zahtevna označena pot;345
Košutnikov turn;1525;izjemno zahtevna označena pot;355
Košutnikov turn;1325;zelo zahtevna označena pot;250
Kozjek;206;lahka neoznačena steza;25
Kozjek;176;lahka označena pot;30
Kozjek;166;lahka neoznačena steza;25
Kozjek (nad Socko);426;lahka označena pot;70
Krajnikov grad;97;lahka neoznačena steza;25
Kresišče;925;lahka neoznačena steza;170
Kresišče;889;zelo zahtevna označena pot;195
Kresišče;900;lahka neoznačena steza;180
Kresišče;889;lahka označena pot;180
Kršiše;132;lahka neoznačena steza;20
Kršiše;132;lahka neoznačena steza;22
Krvavka;804;lahko brezpotje;120
Kušpergarjev turn (Kušpergarjevi turni);200;delno zahtevna neoznačena pot;45
Leški cerkvi;235;lahka označena pot;45
Leški cerkvi;144;lahka označena pot;25
Lindeški slap;120;lahka označena pot;15
Ljubična gora;269;lahka označena pot;45
Ljubična gora;269;lahka označena pot;45
Lokovnikov Grintovec / Grintoutz;855;lahka neoznačena steza, delno zahtevna označena pot;160
Lokovnikov Grintovec / Grintoutz;850;zahtevna označena pot;165
Lokovnikov Grintovec / Grintoutz;900;delno zahtevna označena pot;170
Lokovnikov Grintovec / Grintoutz;900;zahtevna označena pot;165
Lokovnikov Grintovec / Grintoutz;1160;delno zahtevna označena pot;240
Lovska koča na Brvogih;360;lahka označena pot;60
Lovska koča nad Doslovško planino;285;lahka neoznačena steza;60
Lovska koča nad Doslovško planino;200;lahka neoznačena steza;30
Lovska koča Stanič;426;lahka označena pot;90
Lovska koča Štepih;264;lahka označena pot;60
Lovska koča Štepih;420;lahka neoznačena steza;95
Lovska koča Štepih;405;lahka označena pot;110
Lovska koča Štepih;420;lahka označena pot;95
Lubela;388;lahka označena pot;75
Lubela;198;lahka označena pot;45
Maceljska gora;400;lahko brezpotje;105
Maceljska gora;395;lahka označena pot;110
Maceljska gora;430;lahko brezpotje;95
Maceljska gora;420;lahko brezpotje;95
Mala Boncla (Bavha);246;lahka neoznačena steza;30
Mala Golica;424;lahka neoznačena steza;90
Mala Golica;671;lahka neoznačena steza;135
Mala Košuta;490;lahka neoznačena steza;75
Mala Košuta;1260;lahka označena pot, lahka neoznačena steza;345
Mala Peca;700;lahka označena pot;130
Mala Peca;901;lahka označena pot;150
Mala Peca;1106;lahka označena pot;200
Mali Javornik;700;lahko brezpotje;150
Mali Juhej;60;lahka neoznačena steza;12
Mali vrh;1100;lahko brezpotje;195
Malnež;246;lahka neoznačena steza;40
Malo Kladivo;800;delno zahtevna označena pot;120
Malo Kladivo;1210;delno zahtevna označena pot;185
Malo Kladivo;550;lahka neoznačena steza, delno zahtevna označena pot;105
Maloško poldne / Mallestiger Mittagskogel;900;lahka neoznačena steza;175
Maloško poldne / Mallestiger Mittagskogel;873;zelo zahtevna označena pot;180
Maloško poldne / Mallestiger Mittagskogel;950;lahka neoznačena steza;190
Maloško poldne / Mallestiger Mittagskogel;873;lahka označena pot;165
Markljev Rovt;270;lahka označena pot;60
Medvodnica;348;lahka neoznačena steza;90
Medvodnica;350;lahka neoznačena steza;85
Mirca;425;lahka neoznačena steza;80
Mirca;435;lahka neoznačena steza;70
Močnikova planina;300;lahka označena pot;45
Mojstrovica;809;lahka neoznačena steza;140
Mojstrovica;809;lahko brezpotje;130
Mornova zijalka;30;lahka označena pot;5
Murnovc;950;lahka neoznačena steza, lahko brezpotje;180
Na Možeh;726;zahtevno brezpotje;135
Na pečeh pri Črnem Vrhu;369;lahka neoznačena steza;65
Obel kamen (Olševa);685;zahtevna označena pot;120
Obel kamen (Olševa);680;zahtevna označena pot;115
Obel kamen (Olševa);590;lahka označena pot;135
Obel kamen (Olševa);690;zahtevna označena pot;135
Obel kamen (Olševa);685;zahtevna označena pot;130
Obel kamen (Olševa);750;zahtevna označena pot;210
Ostrica;327;lahka označena pot;60
Palec;975;zahtevna neoznačena steza;180
Palec;1000;zahtevna neoznačena steza;180
Palec;1055;zahtevna neoznačena steza;210
Partizanska bolnica Krtina;186;lahka označena pot;55
Partizanska bolnica na Formili/Boču;400;lahka označena pot;65
Partizanska bolnica na Formili/Boču;470;lahka označena pot;75
Partizanska bolnica na Formili/Boču;400;lahka označena pot;85
Partizanska bolnica na Formili/Boču;495;lahka označena pot;120
Partizanska bolnica na Formili/Boču;410;lahka označena pot;125
Partizanska bolnica Zima;430;lahka označena pot;180
Peč (Tromeja);643;lahka označena pot;100
Peč (Tromeja);660;lahka označena pot;120
Peč (Tromeja);715;lahka označena pot;135
Peč (Tromeja);500;lahka označena pot;120
Peč (Tromeja);643;lahka označena pot;105
Peč (Tromeja);643;lahka označena pot;110
Peč (Tromeja);695;lahka neoznačena steza;135
Peč (Tromeja);695;lahka neoznačena steza;140
Peč (Tromeja);660;lahka neoznačena steza;165
Peč (Tromeja);585;lahka neoznačena steza;135
Pečovnik;786;lahka neoznačena steza;155
Pečovnik;600;lahka neoznačena steza;155
Pečovnik (kota 1668);814;lahka neoznačena steza;165
Pečovnik (kota 1668);640;lahka neoznačena steza;165
Penatca;450;lahka neoznačena steza;100
Petelinjek (nad Korenskim sedlom);500;lahka neoznačena steza;90
Petelinjek (nad Korenskim sedlom);550;lahka neoznačena steza;120
Pikov vrh;165;lahka neoznačena steza;30
Pikov vrh;670;lahka neoznačena steza;120
Pikov vrh;595;lahka neoznačena steza;105
Pikov vrh;155;lahka neoznačena steza;55
Pikov vrh;655;lahka neoznačena steza;145
Plakopec (Brezejec);596;lahko brezpotje;120
Planica;500;delno zahtevna neoznačena pot;105
Planica;550;delno zahtevna neoznačena pot;135
Planica;880;delno zahtevna neoznačena pot;155
Planina Brsnina;503;lahka neoznačena steza;105
Planina Brsnina;520;lahka neoznačena steza;135
Planina Dolžanka;50;lahka označena pot;10
Planina Dovška Rožca;450;lahka označena pot;70
Planina Dovška Rožca;890;lahka označena pot;145
Planina Dovška Rožca;450;lahka označena pot;75
Planina Dovška Rožca;650;lahka označena pot;135
Planina Dovška Rožca;585;lahka neoznačena steza;100
Planina Dovška Rožca;905;lahka neoznačena steza;160
Planina Goreljše;365;lahka označena pot;65
Planina Ilovica;580;lahka označena pot;115
Planina Ilovica;525;lahka označena pot;215
Planina Javornik;427;lahka označena pot;80
Planina Javornik;750;lahka označena pot;135
Planina Javornik;575;lahka označena pot;120
Planina Javornik;365;lahka neoznačena steza;60
Planina Javornik;750;lahka označena pot;135
Planina Kladje / Quadiaalm;715;lahka označena pot;120
Planina Kladje / Quadiaalm;675;lahka označena pot;150
Planina Kladje / Quadiaalm;750;lahka označena pot;135
Planina Korošica;604;lahka označena pot;95
Planina Korošica;575;lahka neoznačena steza;90
Planina Korošica;600;zahtevna označena pot;135
Planina Korošica;625;zahtevna označena pot;135
Planina Korošica;1050;lahka označena pot;235
Planina Korošica;1090;lahka označena pot;255
Planina Možine;372;lahka neoznačena steza;90
Planina Planinca;450;lahka označena pot;75
Planina Planinca;420;delno zahtevna neoznačena pot;150
Planina Planinca;650;lahka označena pot;150
Planina Pungrat;735;lahka označena pot;160
Planina Pungrat;425;lahka označena pot;160
Planina Pungrat;660;lahka neoznačena steza;135
Planina Rep (Repija);160;lahka označena pot;45
Planina Rep (Repija);175;lahka označena pot;90
Planina Seča;741;lahka označena pot;120
Planina Seča;428;delno zahtevna neoznačena pot;75
Planina Seča;750;lahka označena pot;105
Planina Spodnja Dolga njiva;150;lahka označena pot;20
Planina Spodnja Dolga njiva;925;lahka označena pot;290
Planina Spodnja Dolga njiva;550;lahka označena pot;135
Planina Spodnja Dolga njiva;650;lahka neoznačena steza, lahka označena pot;195
Planina Spodnja Konjščica;651;lahka označena pot;105
Planina Spodnja Konjščica;633;lahka označena pot;105
Planina Spodnja Konjščica;515;lahka označena pot;120
Planina Spodnja Konjščica;428;lahka označena pot;75
Planina Spodnja Konjščica;935;lahka označena pot;190
Planina Stamare;461;lahka neoznačena steza;75
Planina Stamare;770;lahka neoznačena steza;150
Planina Stamare;80;lahka neoznačena steza;15
Planina Stamare;770;delno zahtevna neoznačena pot;150
Planina Stamare;515;delno zahtevna neoznačena pot;105
Planina Zali potok;233;lahka neoznačena steza;40
Planina Zgornja Dolga njiva;330;lahka označena pot;45
Planina Zgornja Dolga njiva;1110;lahka označena pot;315
Planina Zgornja Konjščica;778;lahka označena pot;135
Planina Zgornja Konjščica;760;lahka označena pot;135
Planina Zgornja Konjščica;555;lahka označena pot;105
Planina Zgornja Konjščica;1062;lahka označena pot;220
Planinska koča Velikonočnica;285;lahka označena pot;65
Planinska koča Velikonočnica;285;lahka označena pot;70
Planinska koča Velikonočnica;253;lahka označena pot;45
Planinski dom na kmetiji Kumer;15;lahka označena pot;45
Plešivec;551;lahka neoznačena steza;80
Plešivec;1000;lahka neoznačena steza;210
Plešivec;810;lahka neoznačena steza;210
Plešivec;620;lahka označena pot;120
Plešivec;600;lahka označena pot;120
Plešivec;600;lahka označena pot, lahka neoznačena steza;195
Plešivec;600;lahka označena pot, lahka neoznačena steza;135
Plešivec;570;lahka označena pot, lahka neoznačena steza;120
Plešivška kopa (Kozarnica);609;delno zahtevna neoznačena pot;90
Pogorevc;540;lahka neoznačena steza;105
Polna peč;445;lahka označena pot;75
Polna peč;510;lahka označena pot;90
Poštarski dom pod Plešivcem;223;lahka označena pot;45
Poštarski dom pod Plešivcem;415;lahka označena pot;140
Poštarski dom pod Plešivcem;345;lahka označena pot;90
Poštarski dom pod Plešivcem;490;lahka neoznačena steza;130
Potočka zijalka;420;lahka označena pot;65
Potočka zijalka;430;lahka označena pot;80
Potočka zijalka;425;lahka označena pot;70
Potočnikova planina;400;delno zahtevna neoznačena pot;110
Potoška planina;700;lahka označena pot;135
Potoška planina;700;lahka označena pot;110
Potoška planina;670;lahka neoznačena steza;120
Potoška planina;640;delno zahtevna neoznačena pot;120
Potoški Stol;750;lahka neoznačena steza;135
Potoški Stol;950;lahka označena pot;185
Potoški Stol;1115;lahka označena pot;240
Potoški Stol;800;lahka neoznačena steza;160
Potoški Stol;1515;lahka označena pot;265
Prešernova koča na Stolu;1000;lahka označena pot;165
Prešernova koča na Stolu;1015;lahka označena pot;185
Prešernova koča na Stolu;1315;delno zahtevna označena pot;285
Prešernova koča na Stolu;1554;lahka označena pot;245
Prešernova koča na Stolu;1360;delno zahtevna označena pot;295
Prešernova koča na Stolu;1615;lahka označena pot;265
Prešernova koča na Stolu;1215;lahko brezpotje, lahka označena pot;235
Prešernova koča na Stolu;1220;lahka neoznačena steza, delno zahtevna označena pot;250
Prešernova koča na Stolu;1135;delno zahtevna označena pot;220
Prešernova koča na Stolu;1049;lahka označena pot;165
Prešernova koča na Stolu;1245;zahtevna označena pot;265
Prešernova koča na Stolu;1150;zahtevna označena pot;265
Prešernova koča na Stolu;1135;lahka neoznačena steza;205
Prešernova koča na Stolu;1065;lahka neoznačena steza;175
Primožkovi hribi;568;lahka neoznačena steza;100
Primožkovi hribi;530;lahka neoznačena steza;90
Ptičji vrh;328;lahka neoznačena steza;60
Ptičji vrh;575;lahka neoznačena steza;105
Pungartska gora;595;lahko brezpotje;90
Pusti Rovt;78;lahka označena pot;15
Pusti Rovt;330;lahka označena pot;60
Radojč;487;lahka označena pot;90
Radojč;487;izjemno zahtevna označena pot;90
Ramšakov vrh;570;lahka označena pot;120
Ramšakov vrh;320;lahka označena pot;60
Ramšakov vrh;550;lahka označena pot;120
Ramšakov vrh;570;izjemno zahtevna označena pot;120
Ravnocerje;445;lahka označena pot, lahka neoznačena steza;105
Razborški ribniki;85;lahka označena pot;45
Razgledna točka na Stenici;195;lahka označena pot;40
Rekaršica;481;lahka označena pot;100
Rekaršica;550;lahka neoznačena steza;100
RIS Dolina (Dovžanova soteska);160;lahka označena pot;35
RIS Dolina (Dovžanova soteska);185;zahtevna označena pot;40
RIS Dolina (Dovžanova soteska);140;lahka označena pot;25
Robič;610;lahka neoznačena steza;135
Robič;755;lahka neoznačena steza;135
Robič;675;lahka neoznačena steza;115
Robič;995;lahka neoznačena steza;215
Robič;850;lahka neoznačena steza;175
Roblekov dom na Begunjščici;477;lahka označena pot;80
Roblekov dom na Begunjščici;968;lahka označena pot;170
Roblekov dom na Begunjščici;800;delno zahtevna označena pot;200
Roblekov dom na Begunjščici;750;delno zahtevna neoznačena pot;180
Roblekov dom na Begunjščici;1000;delno zahtevna označena pot;180
Roblekov dom na Begunjščici;587;delno zahtevna označena pot;105
Roblekov dom na Begunjščici;887;lahka označena pot;180
Roblekov dom na Begunjščici;707;lahka neoznačena steza, lahka označena pot;150
Roblekov dom na Begunjščici;680;delno zahtevna označena pot;140
Roblekova planina;450;lahka neoznačena steza;100
Roblekova planina;387;lahka neoznačena steza;80
Roblekova planina;125;lahka neoznačena steza;50
Roblekova planina;315;lahka označena pot;75
Roblekova planina;420;lahka neoznačena steza;80
Robniške peči;500;zahtevno brezpotje;120
Robniške peči;500;zahtevno brezpotje;135
Rovt Vrse;160;lahka neoznačena steza;40
Rovt Vrse;540;lahka neoznačena steza;90
Rovt Vrse;450;lahka neoznačena steza;90
Rožca;650;lahka označena pot;120
Rožca;600;lahka označena pot;130
Rožca;412;lahka neoznačena steza;70
Rožca;437;lahka neoznačena steza;75
Rožca;500;zahtevna neoznačena steza;105
Rožca;985;lahka označena pot;200
Rudijev dom na Donački gori;270;lahka označena pot;50
Rudijev dom na Donački gori;300;lahka označena pot;80
Rudijev dom na Donački gori;335;lahka označena pot;130
Rudijev dom na Donački gori;265;lahka označena pot;75
Rudijev dom na Donački gori;230;lahka označena pot;60
Ruš;735;delno zahtevna neoznačena pot;150
Ruš;635;delno zahtevna neoznačena pot;120
Ruš;764;delno zahtevna neoznačena pot;135
Ruš;740;zelo zahtevno brezpotje;135
Skala;417;zelo zahtevna označena pot;70
Skala;450;lahka označena pot;90
Skala;400;lahka označena pot;60
Skalni vrh (Vodemla);206;lahka označena pot;35
Skalni vrh (Vodemla);303;lahka označena pot;45
Škrbina;422;lahka označena pot;70
Slap pod Gozdašnico;120;delno zahtevna neoznačena pot;25
Slap pod Kurico;120;lahka neoznačena steza;35
Slapišče pod Kalvarijo;120;zahtevno brezpotje;40
Slapovi Dobršnik;185;zahtevno brezpotje;40
Slapovi Dobršnik;270;zelo zahtevna označena pot;90
Slapovi v Preski;20;lahko brezpotje;30
Smodivnik;320;lahka neoznačena steza;45
Smolnik;455;lahka neoznačena steza;60
Smolnik;455;lahka neoznačena steza;75
Smučarski dom Črni vrh;300;lahka označena pot;105
Smučarski dom Črni vrh;176;lahka označena pot;45
Smučarski dom Črni vrh;566;lahka neoznačena steza;105
Snežnik (nad Koprivno);550;lahka označena pot, lahka neoznačena steza;130
Šoparjev vrh;352;lahka neoznačena steza;70
Šoparjev vrh;369;lahka neoznačena steza;75
Šoparjev vrh;355;lahka neoznačena steza;95
Soteska Mučevo;160;izjemno zahtevna označena pot;100
Soteska Mučevo;160;zelo zahtevna označena pot;55
Španov vrh;354;lahka neoznačena steza;75
Španov vrh;734;lahka označena pot;150
Španov vrh;400;lahka neoznačena steza;90
Španov vrh;736;lahka neoznačena steza;120
Španov vrh;162;lahka neoznačena steza;40
Španov vrh;774;lahka neoznačena steza;150
Špicasti vrh (Kislica);554;delno zahtevna neoznačena pot;80
Špicasti vrh (Kislica);672;lahka označena pot;135
Špik (Paški Kozjak);148;lahka označena pot;30
Spodnji Plot;630;izjemno zahtevna označena pot;135
Spodnji Plot;624;lahka neoznačena steza;105
Spodnji Plot;630;izjemno zahtevna označena pot;130
Spominska plošča Jožeta Rozmana;650;lahka označena pot;120
Srednja peč;1060;lahka označena pot, zahtevno brezpotje;245
Srednja peč;1010;delno zahtevna označena pot, zahtevno brezpotje;245
Srednja peč;1060;delno zahtevna označena pot, zahtevno brezpotje;255
Srednja peč;855;delno zahtevna označena pot, zahtevno brezpotje;180
Srednja peč;1045;zahtevna označena pot, zahtevno brezpotje;225
Srednji vrh (nad Završnico);860;lahka označena pot;160
Srednji vrh (nad Završnico);726;lahka označena pot;120
Srednji vrh (nad Završnico);738;lahka označena pot;180
Srednji vrh (nad Završnico);726;lahka neoznačena steza;120
Srnjak;156;lahka neoznačena steza;30
Štalekarjev vrh;297;lahka neoznačena steza;45
Stara cerkev sv. Ožbolta (Jezersko);75;lahka neoznačena steza;15
Stegovnik;870;lahka neoznačena steza, delno zahtevna označena pot;155
Stegovnik;842;delno zahtevna označena pot;150
Stegovnik;750;delno zahtevna označena pot;135
Stegovnik;800;delno zahtevna označena pot;240
Stegovnik;838;lahka neoznačena steza, delno zahtevna označena pot;190
Stegovnik;800;delno zahtevna označena pot;240
Stegovnik;800;lahka neoznačena steza, delno zahtevna označena pot;165
Stegovnik;825;lahka neoznačena steza, delno zahtevna označena pot;195
Stegovnik;600;lahka neoznačena steza, delno zahtevna označena pot;195
Stegovniški slap;18;lahka označena pot;10
Stenica;700;lahka označena pot;105
Stenica;650;lahka označena pot;110
Stenica;655;lahka neoznačena steza;110
Stol;1080;lahka označena pot;180
Stol;1100;lahka označena pot;200
Stol;1090;zelo zahtevna označena pot;200
Stol;1350;delno zahtevna označena pot;290
Stol;1400;lahka označena pot;290
Stol;1175;delno zahtevna označena pot;225
Stol;1635;lahka označena pot;260
Stol;1166;lahka neoznačena steza;225
Stol;1350;lahka označena pot;255
Stol;1400;lahka označena pot;270
Stol;1300;zahtevna označena pot;270
Stol;1135;lahka označena pot;180
Stol;1000;lahka neoznačena steza;195
Stol;1200;zahtevna označena pot;270
Stol;1675;lahka označena pot;280
Stol;1400;delno zahtevna označena pot;300
Stol;1250;lahko brezpotje, lahka označena pot;240
Stol;1250;lahka neoznačena steza, delno zahtevna označena pot;255
Stol;1215;lahka neoznačena steza;220
Stol;1150;lahka neoznačena steza;190
Stolpnik;800;lahka označena pot;135
Stolpnik;350;lahka označena pot;60
Stolpnik;679;lahka označena pot;105
Stolpnik;500;lahka označena pot;85
Stolpnik;451;lahka označena pot;85
Stolpnik;475;lahka označena pot;95
Stolpnik;670;lahka označena pot;150
Stolpnik;900;lahka označena pot;195
Stolpnik;685;lahka označena pot;150
Stolpnik;610;lahka označena pot;145
