Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Bistriška planina;Kamniško Savinjske Alpe;1057;6;['planina', 'sedlo']
Bivak na Kalu;Kamniško Savinjske Alpe;1285;7;['koča', 'sedlo']
Bivak pod Grintovcem;Kamniško Savinjske Alpe;2100;3;['bivak']
Bivak pod Mrzlim vrhom;Kamniško Savinjske Alpe;1980;4;['bivak']
Bivak pod Skuto;Kamniško Savinjske Alpe;2070;1;['bivak']
Bivak v Kočni;Kamniško Savinjske Alpe;1952;1;['bivak']
Boskovec;Kamniško Savinjske Alpe;1587;5;['vrh']
Brana;Kamniško Savinjske Alpe;2253;4;['vrh']
Breška planina;Kamniško Savinjske Alpe;1100;3;['planina']
Brezovec;Kamniško Savinjske Alpe;617;1;['vrh']
Brunški vrh;Kamniško Savinjske Alpe;511;1;['vrh']
Cerkev sv. Petra nad Črno pri Kamniku;Kamniško Savinjske Alpe;845;1;['cerkev']
Češka koča na Spodnjih Ravneh;Kamniško Savinjske Alpe;1542;5;['koča', 'bivak']
Čisovec;Kamniško Savinjske Alpe;1419;3;['vrh']
Cjanovca;Kamniško Savinjske Alpe;1820;7;['vrh']
Cojzova koča na Kokrskem sedlu;Kamniško Savinjske Alpe;1793;4;['koča', 'bivak', 'sedlo']
Črnuški dom na Mali planini;Kamniško Savinjske Alpe;1526;7;['koča', 'planina']
Deska (Veža);Kamniško Savinjske Alpe;1970;4;['vrh']
Dleskovec;Kamniško Savinjske Alpe;1965;1;['vrh']
Dobrča;Kamniško Savinjske Alpe;1634;18;['vrh']
Dolgi hrbet;Kamniško Savinjske Alpe;2473;6;['vrh']
Dom Čemšenik;Kamniško Savinjske Alpe;835;1;['koča']
Dom na Čreti;Kamniško Savinjske Alpe;870;8;['koča', 'cerkev']
Dom na Dobrovljah;Kamniško Savinjske Alpe;745;2;['koča']
Dom na Gospincu (Hotel Rozka);Kamniško Savinjske Alpe;1491;8;['koča', 'planina']
Dom na Kališču;Kamniško Savinjske Alpe;1534;21;['koča']
Dom na Kisovcu;Kamniško Savinjske Alpe;1275;4;['koča', 'planina']
Dom na Krvavcu;Kamniško Savinjske Alpe;1684;4;['koča', 'planina']
Dom na Lovrencu (Bašelj);Kamniško Savinjske Alpe;860;4;['koča']
Dom na Menini planini;Kamniško Savinjske Alpe;1453;13;['koča', 'planina', 'cerkev']
Dom na Okrešlju;Kamniško Savinjske Alpe;1396;2;['koča', 'bivak', 'planina']
Dom na Smrekovcu;Kamniško Savinjske Alpe;1375;11;['koča']
Dom planincev Farbanca;Kamniško Savinjske Alpe;702;3;['koča']
Dom pod Storžičem;Kamniško Savinjske Alpe;1123;3;['koča']
Dom v Kamniški Bistrici;Kamniško Savinjske Alpe;600;2;['koča', 'jezero', 'cerkev']
Domžalski dom na Mali planini;Kamniško Savinjske Alpe;1534;7;['koča', 'planina']
Goli vrh;Kamniško Savinjske Alpe;1787;3;['vrh']
Goli vrh (Šavnice);Kamniško Savinjske Alpe;1426;2;['vrh']
Gora Oljka;Kamniško Savinjske Alpe;733;9;['vrh', 'koča', 'cerkev']
Gostišče Zeleni Rob;Kamniško Savinjske Alpe;1612;1;['koča', 'planina']
Grad Gutenberk (Hudi grad);Kamniško Savinjske Alpe;663;2;['vrh']
Grad Velenje;Kamniško Savinjske Alpe;442;3;['vrh']
Grad Žovnek;Kamniško Savinjske Alpe;409;2;['vrh']
Gradišče (Pustinjak);Kamniško Savinjske Alpe;871;5;['vrh']
Gradišče (Velika planina);Kamniško Savinjske Alpe;1666;12;['vrh', 'planina']
Grebenc;Kamniško Savinjske Alpe;1479;3;['vrh']
Grintovec;Kamniško Savinjske Alpe;2558;14;['vrh']
Grmada (Dobrovlje);Kamniško Savinjske Alpe;898;3;['vrh']
Hotel Golte;Kamniško Savinjske Alpe;1410;2;['koča', 'planina']
Hotel Krvavec;Kamniško Savinjske Alpe;1600;4;['koča', 'planina']
Icmanikova planina;Kamniško Savinjske Alpe;1520;3;['planina', 'sedlo']
Izletniška kmetija Bukovc (Bukovnik);Kamniško Savinjske Alpe;1327;2;['koča', 'planina']
Jamarski bivak na Dleskovški planoti;Kamniško Savinjske Alpe;1910;3;['bivak']
Jamna peč;Kamniško Savinjske Alpe;720;3;['']
Jarški dom na Mali planini;Kamniško Savinjske Alpe;1520;5;['koča', 'planina']
Javorca (Golte);Kamniško Savinjske Alpe;1465;1;['planina']
Javornik nad Jezerskim;Kamniško Savinjske Alpe;1399;1;['vrh']
Javorov vrh;Kamniško Savinjske Alpe;1434;7;['vrh']
Jelovec;Kamniško Savinjske Alpe;1808;2;['vrh']
Jenkova planina;Kamniško Savinjske Alpe;1495;1;['planina', 'sedlo']
Jezerska Kočna;Kamniško Savinjske Alpe;2540;14;['vrh']
Kalška gora;Kamniško Savinjske Alpe;2047;11;['vrh']
Kalški greben;Kamniško Savinjske Alpe;2224;13;['vrh']
Kamniška koča na Kamniškem sedlu;Kamniško Savinjske Alpe;1864;4;['koča', 'bivak', 'sedlo']
Kamniški Dedec;Kamniško Savinjske Alpe;1583;2;['vrh']
Kamniški vrh;Kamniško Savinjske Alpe;1259;12;['vrh', 'bivak']
Kapela Marije Snežne (Velika planina);Kamniško Savinjske Alpe;1560;8;['vrh', 'planina', 'cerkev']
Kapelica na Molički planini;Kamniško Savinjske Alpe;1780;7;['koča', 'planina', 'sedlo', 'cerkev']
Kašna planina;Kamniško Savinjske Alpe;1317;3;['planina']
Knezova planina;Kamniško Savinjske Alpe;1520;1;['planina']
Knezova planina (Planina Bela peč);Kamniško Savinjske Alpe;1350;2;['planina', 'sedlo']
Koča na Dobrči;Kamniško Savinjske Alpe;1478;14;['koča']
Koča na Grohatu;Kamniško Savinjske Alpe;1460;2;['koča', 'planina']
Koča na Klemenči jami;Kamniško Savinjske Alpe;1208;2;['koča', 'planina']
Koča na Kriški gori;Kamniško Savinjske Alpe;1471;9;['koča']
Koča na Loki pod Raduho;Kamniško Savinjske Alpe;1534;6;['koča', 'planina', 'cerkev']
Koča na Travniku;Kamniško Savinjske Alpe;1548;6;['koča', 'bivak', 'planina']
Koča na Treh plotih;Kamniško Savinjske Alpe;1530;1;['koča', 'jezero', 'sedlo']
Kocbekov dom na Korošici;Kamniško Savinjske Alpe;1808;13;['koča', 'bivak', 'planina']
Kogel;Kamniško Savinjske Alpe;2100;1;['vrh']
Kokrska Kočna;Kamniško Savinjske Alpe;2520;8;['vrh']
Komen;Kamniško Savinjske Alpe;1684;6;['vrh', 'cerkev']
Kompotela;Kamniško Savinjske Alpe;1989;3;['vrh']
Konj;Kamniško Savinjske Alpe;1803;4;['vrh']
Kopa (Belska Kopa);Kamniško Savinjske Alpe;1180;1;['vrh']
Kopa (Partizanski vrh);Kamniško Savinjske Alpe;1024;4;['vrh']
Koritni vrh (Velika planina);Kamniško Savinjske Alpe;1648;2;['vrh']
Korošaški slapovi;Kamniško Savinjske Alpe;800;1;['slap']
Koroška Rinka (Križ);Kamniško Savinjske Alpe;2433;7;['vrh']
Košutna;Kamniško Savinjske Alpe;1974;3;['vrh']
Koželj;Kamniško Savinjske Alpe;590;2;['vrh']
Kozji vrh;Kamniško Savinjske Alpe;1628;1;['vrh']
Kranjska koča na Ledinah;Kamniško Savinjske Alpe;1700;4;['koča', 'bivak']
Kranjska reber;Kamniško Savinjske Alpe;1435;6;['vrh']
Kranjska Rinka;Kamniško Savinjske Alpe;2453;7;['vrh']
Kriška planina;Kamniško Savinjske Alpe;1480;5;['koča', 'planina']
Kriva jelka;Kamniško Savinjske Alpe;528;2;['bivak']
Križevnik;Kamniško Savinjske Alpe;1909;4;['vrh']
Krnes;Kamniško Savinjske Alpe;1613;2;['vrh']
Krničarjeva koča na planini Javornik;Kamniško Savinjske Alpe;1390;5;['planina']
Krofička;Kamniško Savinjske Alpe;2083;5;['vrh']
Krvavec;Kamniško Savinjske Alpe;1853;4;['vrh']
Kržišče (Pokovše);Kamniško Savinjske Alpe;1658;2;['vrh']
Kunšperski vrh (Brezovec);Kamniško Savinjske Alpe;1336;2;['vrh']
Lanež;Kamniško Savinjske Alpe;1925;7;['vrh']
Lastovec;Kamniško Savinjske Alpe;1841;1;['vrh']
Ledinski vrh;Kamniško Savinjske Alpe;2108;5;['vrh']
Lepenatka;Kamniško Savinjske Alpe;1425;10;['vrh']
Lešanska planina;Kamniško Savinjske Alpe;1450;6;['koča', 'planina']
Licjanovec;Kamniško Savinjske Alpe;1733;1;['vrh']
Lipnik (pri Velenju);Kamniško Savinjske Alpe;486;1;['vrh']
Logarska peč;Kamniško Savinjske Alpe;1536;3;['vrh']
Lomek (Lom);Kamniško Savinjske Alpe;884;2;['vrh']
Lovska koča Črnevka;Kamniško Savinjske Alpe;1300;1;['']
Lučka Brana (Baba);Kamniško Savinjske Alpe;2331;1;['vrh']
Lučki Dedec;Kamniško Savinjske Alpe;2023;6;['vrh']
Mala Ojstrica;Kamniško Savinjske Alpe;2017;2;['vrh']
Mala Poljana;Kamniško Savinjske Alpe;1325;6;['koča', 'planina']
Mala Raduha;Kamniško Savinjske Alpe;2029;3;['vrh']
Mala Rinka;Kamniško Savinjske Alpe;2289;2;['vrh']
Mali Grintovec;Kamniško Savinjske Alpe;1813;24;['vrh']
Mali Rogatec (Mali Rogac);Kamniško Savinjske Alpe;1228;2;['vrh']
Mali Travnik;Kamniško Savinjske Alpe;1532;1;['vrh']
Mali vrh nad Završnico;Kamniško Savinjske Alpe;863;1;['vrh']
Malo Gradišče;Kamniško Savinjske Alpe;536;1;['vrh']
Matkov kot;Kamniško Savinjske Alpe;920;1;['']
Matkova kopa;Kamniško Savinjske Alpe;1957;1;['vrh']
Medvedjak;Kamniško Savinjske Alpe;1573;1;['vrh']
Mihčeva kopišča;Kamniško Savinjske Alpe;1100;1;['planina']
Mokrica;Kamniško Savinjske Alpe;1853;4;['vrh']
Mokrišče Blata;Kamniško Savinjske Alpe;505;1;['']
Molička peč;Kamniško Savinjske Alpe;2029;3;['vrh']
Mozirska koča na Golteh;Kamniško Savinjske Alpe;1356;4;['koča']
Mrzla gora;Kamniško Savinjske Alpe;2203;8;['vrh']
Murijeva planina;Kamniško Savinjske Alpe;1289;1;['planina']
Na Križu (Kokrska Kočna);Kamniško Savinjske Alpe;2484;1;['vrh']
Najvišji rob (Zeleniške špice);Kamniško Savinjske Alpe;2127;2;['vrh']
Novi grad (Pusti grad);Kamniško Savinjske Alpe;630;2;['vrh']
Ojstri vrh (nad Prevalo);Kamniško Savinjske Alpe;1197;2;['vrh']
Ojstrica;Kamniško Savinjske Alpe;2350;17;['vrh']
Orlovo gnezdo (Slap Rinka);Kamniško Savinjske Alpe;1120;1;['slap', 'koča']
Ovča koča;Kamniško Savinjske Alpe;1323;1;['planina']
Partizanska bolnica Mrzle vode;Kamniško Savinjske Alpe;1226;1;['']
Planica (vzletišče Gozd);Kamniško Savinjske Alpe;926;7;['vrh']
Planina Arta;Kamniško Savinjske Alpe;1564;1;['planina']
Planina Dol;Kamniško Savinjske Alpe;1308;2;['planina']
Planina Dolga njiva;Kamniško Savinjske Alpe;1600;4;['planina']
Planina Dolga njiva (Krvavec);Kamniško Savinjske Alpe;1688;4;['planina']
Planina Dolga trata;Kamniško Savinjske Alpe;1835;1;['bivak', 'planina']
Planina Javorje;Kamniško Savinjske Alpe;1594;2;['planina']
Planina Jezerca;Kamniško Savinjske Alpe;1410;4;['planina']
Planina Kališče;Kamniško Savinjske Alpe;1450;8;['planina']
Planina Konjščica (Velika planina);Kamniško Savinjske Alpe;1505;2;['planina']
Planina Koren;Kamniško Savinjske Alpe;1675;4;['planina']
Planina Košutna;Kamniško Savinjske Alpe;1778;3;['planina', 'cerkev']
Planina Mali Travnik;Kamniško Savinjske Alpe;1500;2;['planina']
Planina Marjanine njive;Kamniško Savinjske Alpe;1220;1;['planina']
Planina Osredek;Kamniško Savinjske Alpe;1100;4;['planina']
Planina Podvežak;Kamniško Savinjske Alpe;1564;2;['planina']
Planina Polšak;Kamniško Savinjske Alpe;1695;1;['planina']
Planina Ravne;Kamniško Savinjske Alpe;1500;1;['planina']
Planina Ravni;Kamniško Savinjske Alpe;1075;4;['planina']
Planina Rzenik;Kamniško Savinjske Alpe;1654;2;['planina']
Planina Travnik;Kamniško Savinjske Alpe;1180;5;['planina']
Planina Vodol;Kamniško Savinjske Alpe;1324;1;['planina']
Planina Vodole;Kamniško Savinjske Alpe;1570;1;['planina']
Planinska koča Iskra na Jakobu;Kamniško Savinjske Alpe;961;8;['koča', 'cerkev']
Planinska koča pri Franciju;Kamniško Savinjske Alpe;930;5;['koča']
Planinski dom Milana Šinkovca;Kamniško Savinjske Alpe;345;1;['koča']
Planinski dom Šentjungert;Kamniško Savinjske Alpe;565;2;['vrh', 'koča', 'cerkev']
Planjava;Kamniško Savinjske Alpe;2392;13;['vrh']
Planjava pri Kamniškem vrhu;Kamniško Savinjske Alpe;1243;4;['vrh']
Pleče;Kamniško Savinjske Alpe;1131;6;['vrh']
Plesnikova planina;Kamniško Savinjske Alpe;1319;1;['planina']
Počka (Robnikova) planina;Kamniško Savinjske Alpe;1165;1;['planina']
Poljanski rob;Kamniško Savinjske Alpe;1569;3;['vrh', 'planina']
Potoška gora;Kamniško Savinjske Alpe;1283;2;['vrh']
Povšnarjeva planina;Kamniško Savinjske Alpe;1330;1;['planina']
Praprotnikova koča;Kamniško Savinjske Alpe;1380;2;['']
Prevala;Kamniško Savinjske Alpe;1163;3;['planina', 'sedlo']
Prgozdnik;Kamniško Savinjske Alpe;1013;2;['vrh']
Pri Pastirjih;Kamniško Savinjske Alpe;1430;1;['bivak', 'planina']
Račka vrata;Kamniško Savinjske Alpe;1450;1;['']
Razgledišče Skroti;Kamniško Savinjske Alpe;787;1;['']
Rjavčki vrh (Planinšca);Kamniško Savinjske Alpe;1898;3;['vrh']
Robanova planina;Kamniško Savinjske Alpe;890;1;['planina']
Rzenik;Kamniško Savinjske Alpe;1833;3;['vrh']
Sankaška koča;Kamniško Savinjske Alpe;867;4;['koča']
Sebenje;Kamniško Savinjske Alpe;500;1;['']
Senčnica Josipine Turnograjske;Kamniško Savinjske Alpe;570;2;['vrh']
Šentanski vrh;Kamniško Savinjske Alpe;1635;14;['vrh']
Šenturška Gora;Kamniško Savinjske Alpe;671;3;['vrh', 'koča', 'cerkev']
Sevčnik;Kamniško Savinjske Alpe;562;1;['vrh']
Škrbina (Slaparjeva gora);Kamniško Savinjske Alpe;1142;1;['vrh']
Skubrov vrh;Kamniško Savinjske Alpe;1276;1;['vrh']
Skuta;Kamniško Savinjske Alpe;2532;9;['vrh']
Skutman;Kamniško Savinjske Alpe;911;5;['vrh']
Slap Čedca;Kamniško Savinjske Alpe;1350;1;['slap']
Slap Orglice;Kamniško Savinjske Alpe;870;1;['slap']
Slap Palenk;Kamniško Savinjske Alpe;730;1;['slap']
Slap Peračica;Kamniško Savinjske Alpe;430;5;['slap', 'jezero']
Smokuški vrh;Kamniško Savinjske Alpe;1122;8;['vrh']
Smolnik;Kamniško Savinjske Alpe;1002;1;['vrh']
Smrekovec;Kamniško Savinjske Alpe;1577;9;['vrh']
Šobčev bajer;Kamniško Savinjske Alpe;426;5;['jezero']
Šoštanj;Kamniško Savinjske Alpe;358;1;['']
Špic;Kamniško Savinjske Alpe;1499;1;['vrh']
Spominski park v Kamniški Bistrici;Kamniško Savinjske Alpe;680;1;['']
Srednji vrh;Kamniško Savinjske Alpe;1853;7;['vrh']
Štajerska Rinka;Kamniško Savinjske Alpe;2374;5;['vrh']
Štefanja gora;Kamniško Savinjske Alpe;748;10;['vrh', 'cerkev']
Stiška vas;Kamniško Savinjske Alpe;725;1;['cerkev']
Storžič;Kamniško Savinjske Alpe;2132;30;['vrh']
Strelovec;Kamniško Savinjske Alpe;1763;4;['vrh']
Štruca;Kamniško Savinjske Alpe;2457;7;['vrh']
Sv. Miklavž nad Mačami;Kamniško Savinjske Alpe;651;1;['cerkev']
Sveta Ana (Tunjice);Kamniško Savinjske Alpe;475;3;['vrh', 'cerkev']
Sveta Mati Božja na Čreti;Kamniško Savinjske Alpe;944;6;['cerkev']
Sveta Neža (Brezje pri Tržiču);Kamniško Savinjske Alpe;677;1;['cerkev']
Sveti Florjan nad Gornjim Gradom;Kamniško Savinjske Alpe;743;1;['cerkev']
Sveti Jakob (Jakec);Kamniško Savinjske Alpe;528;1;['cerkev']
Sveti Janez in Pavel (Dobrovlje);Kamniško Savinjske Alpe;862;3;['planina', 'sedlo', 'cerkev']
Sveti Jošt nad Vranskim;Kamniško Savinjske Alpe;955;1;['cerkev']
Sveti Jurij nad Tržičem;Kamniško Savinjske Alpe;673;3;['vrh', 'cerkev']
Sveti Križ nad Belimi Vodami;Kamniško Savinjske Alpe;1054;5;['vrh', 'cerkev']
Sveti Lenart nad Gornjim Gradom;Kamniško Savinjske Alpe;929;2;['cerkev']
Sveti Lovrenc (Bašelj);Kamniško Savinjske Alpe;892;5;['cerkev']
Sveti Lovrenc nad Zabreznico;Kamniško Savinjske Alpe;725;3;['vrh', 'cerkev']
Sveti Miklavž na Gori;Kamniško Savinjske Alpe;757;1;['vrh', 'cerkev']
Sveti Nikolaj (Možjanca);Kamniško Savinjske Alpe;689;4;['cerkev']
Sveti Peter nad Begunjami;Kamniško Savinjske Alpe;839;5;['cerkev']
Sveti Primož nad Kamnikom;Kamniško Savinjske Alpe;826;1;['koča', 'cerkev']
Sveti Primož nad Ljubnim;Kamniško Savinjske Alpe;883;2;['cerkev']
Sveti Vid (nad Zgornjim Tuhinjem);Kamniško Savinjske Alpe;846;2;['cerkev']
Tolsti vrh;Kamniško Savinjske Alpe;1715;16;['vrh']
Tolsti vrh (Dobrovlje);Kamniško Savinjske Alpe;1077;5;['vrh']
Tolsti vrh (Veža);Kamniško Savinjske Alpe;1985;4;['vrh']
Tominčev slap;Kamniško Savinjske Alpe;750;1;['slap']
Turistična kmetija Trnovc;Kamniško Savinjske Alpe;412;1;['koča']
Turni;Kamniško Savinjske Alpe;1240;1;['vrh']
Turni (pri Kozjem vrhu);Kamniško Savinjske Alpe;1432;1;['vrh']
Turska gora;Kamniško Savinjske Alpe;2251;5;['vrh']
V Boštkú;Kamniško Savinjske Alpe;466;2;['']
Vaško;Kamniško Savinjske Alpe;1046;3;['vrh']
Velika (Koroška) Baba;Kamniško Savinjske Alpe;2127;8;['vrh']
Velika Poljana;Kamniško Savinjske Alpe;1410;11;['koča', 'planina', 'sedlo']
Velika Raduha;Kamniško Savinjske Alpe;2062;11;['vrh']
Velika Zelenica;Kamniško Savinjske Alpe;2114;4;['vrh']
Veliki Rogatec (Veliki Rogac);Kamniško Savinjske Alpe;1557;8;['vrh']
Veliki Travnik;Kamniško Savinjske Alpe;1637;6;['vrh']
Veliki vrh;Kamniško Savinjske Alpe;1742;1;['vrh']
Veliki vrh (Veža);Kamniško Savinjske Alpe;2110;5;['vrh']
Veliki vrh nad Matkovim kotom;Kamniško Savinjske Alpe;1539;1;['vrh']
Veliki Zvoh;Kamniško Savinjske Alpe;1971;5;['vrh', 'jezero']
Veliko Gradišče;Kamniško Savinjske Alpe;587;1;['vrh']
Vežica;Kamniško Savinjske Alpe;1965;1;['vrh']
Vinski vrh (Vimperk);Kamniško Savinjske Alpe;448;3;['vrh', 'cerkev']
Visoki vrh nad Jezerskim;Kamniško Savinjske Alpe;1459;2;['vrh']
Vivodnik;Kamniško Savinjske Alpe;1508;12;['vrh']
Vodotočno jezero (Veža);Kamniško Savinjske Alpe;1850;4;['jezero', 'planina']
Vovar;Kamniško Savinjske Alpe;940;6;['vrh']
Vrata;Kamniško Savinjske Alpe;1591;1;['vrh']
Vratca;Kamniško Savinjske Alpe;1802;5;['vrh']
Vrh Korena;Kamniško Savinjske Alpe;1999;9;['vrh']
Vrhe;Kamniško Savinjske Alpe;965;6;['vrh']
Vrholanov vrh (Ravne pri Šoštanju);Kamniško Savinjske Alpe;710;1;['vrh']
Vršiči;Kamniško Savinjske Alpe;1980;1;['vrh']
Zapečnikova planina;Kamniško Savinjske Alpe;840;2;['planina']
Zavetišče na Biba planini;Kamniško Savinjske Alpe;1300;3;['koča', 'planina']
Zavetišče v Gozdu;Kamniško Savinjske Alpe;891;7;['koča', 'cerkev']
Zavetišče v Hudičevem borštu;Kamniško Savinjske Alpe;1328;5;['']
Ajdna;Karavanke;1046;7;['vrh']
Alničje;Karavanke;1145;3;['vrh']
Andrejev dom na Slemenu;Karavanke;1086;4;['koča']
Andrejev vrh;Karavanke;897;8;['vrh']
Babček;Karavanke;575;4;['vrh']
Basališče (Paški Kozjak);Karavanke;1272;3;['vrh']
Begunjščica;Karavanke;2060;14;['vrh']
Begunjska Vrtača;Karavanke;1991;4;['vrh']
Bela peč;Karavanke;1583;10;['vrh']
Bela peč (nad Dovjem);Karavanke;1460;4;['vrh']
Bele peči (Lepi vrh);Karavanke;1926;2;['vrh']
Belska planina (Svečica);Karavanke;1700;5;['koča', 'planina']
Bivak na Belščici;Karavanke;1750;2;['bivak', 'planina']
Bivak Suška bajta;Karavanke;1034;3;['bivak']
Blažčeva skala;Karavanke;1091;1;['vrh']
Blekova planina;Karavanke;1629;3;['bivak', 'planina', 'sedlo']
Boč;Karavanke;978;14;['']
Borovje;Karavanke;1476;3;['vrh']
Brdo (Plezališče pod Golico);Karavanke;1192;1;['vrh']
Brunarica Krmiše;Karavanke;960;1;['koča']
Bukovec;Karavanke;1506;1;['vrh']
Časov vrh;Karavanke;821;1;['vrh']
Celovška špica;Karavanke;2102;2;['vrh']
Cerkev Marije rožnovenske (Črešnjice);Karavanke;512;1;['cerkev']
Cerkev Marije Tolažnice (Brezje nad Žetalami);Karavanke;382;1;['vrh', 'cerkev']
Cerkev Marijinega vnebovzetja (Vitanje);Karavanke;472;1;['cerkev']
Čofatijev vrh;Karavanke;1606;3;['vrh']
Čopov rovt;Karavanke;710;1;['planina']
Črepič;Karavanke;798;2;['vrh']
Črna peč;Karavanke;1447;1;['vrh']
Dedni vrh (Šuštarica);Karavanke;653;1;['vrh']
Dom na Boču;Karavanke;698;9;['koča', 'cerkev']
Dom na Kofcah;Karavanke;1488;13;['koča', 'planina', 'cerkev']
Dom na Paškem Kozjaku;Karavanke;960;1;['koča']
Dom na Peci;Karavanke;1665;7;['koča']
Dom na Tromeji;Karavanke;1145;2;['koča']
Dom na Uršlji gori;Karavanke;1680;10;['koča', 'cerkev']
Dom na Zelenici;Karavanke;1536;6;['koča']
Dom pri izviru Završnice;Karavanke;1425;2;['koča', 'planina']
Dom Pristava v Javorniškem Rovtu;Karavanke;975;2;['koča']
Dom v Dragi;Karavanke;689;1;['koča']
Donačka gora;Karavanke;884;11;['vrh']
Donačka gora (vzhodni vrh);Karavanke;883;10;['vrh']
Doslovška planina;Karavanke;1210;1;['planina']
Dovška Baba;Karavanke;1891;9;['vrh']
Dovška Mala Kepa;Karavanke;2077;1;['vrh']
Erjavčev rovt (Planina Mlinca);Karavanke;1105;2;['planina']
Formila na Boču;Karavanke;624;5;['']
Fričev vrh;Karavanke;881;2;['vrh']
Gank;Karavanke;850;1;['vrh']
Golarjeva peč;Karavanke;1276;1;['vrh']
Goležev grad;Karavanke;505;2;['vrh']
Golica;Karavanke;1835;12;['vrh']
Gonžarjeva peč;Karavanke;575;2;['vrh']
Govca (Olševa);Karavanke;1929;14;['vrh']
Govševa planina;Karavanke;1300;2;['planina']
Grad Konjice;Karavanke;515;2;['vrh']
Grad Lindek;Karavanke;695;1;['vrh']
Gradišče nad Sotesko (Soteska);Karavanke;724;1;['vrh']
Grilova kapela na Boču;Karavanke;534;3;['cerkev']
Grobnica barona Borna;Karavanke;800;1;['']
Grpišca;Karavanke;1676;1;['vrh']
Gubno;Karavanke;2035;4;['vrh']
Hajnževo sedlo;Karavanke;1701;4;['sedlo']
Hom (nad Prevaljami);Karavanke;1193;2;['vrh']
Hrašenska planina;Karavanke;1670;2;['planina']
Hribarska (Huda) zijalka;Karavanke;1140;1;['']
Hruška planina;Karavanke;1378;2;['koča', 'planina']
Hruški vrh;Karavanke;1776;9;['vrh']
Hvadnik;Karavanke;920;1;['']
Izvir Javornika;Karavanke;1000;1;['jezero']
Izvir reke Meže;Karavanke;1230;1;['']
Izvir Sotle;Karavanke;640;5;['']
Javorče;Karavanke;1667;2;['vrh']
Javorniški slapovi;Karavanke;690;1;['slap']
Jelenkamen;Karavanke;1096;5;['vrh']
Jerebikovec;Karavanke;1621;1;['vrh']
Jerman;Karavanke;890;1;['']
Jesenik (Jesenikov vrh);Karavanke;1199;4;['vrh']
Jeseniška planina;Karavanke;1380;2;['planina']
Jezero Završnica;Karavanke;630;1;['jezero']
Joški vrh;Karavanke;595;6;['vrh']
Jureževa planina;Karavanke;1488;1;['planina']
Kališje;Karavanke;1435;1;['vrh']
Kalvarija nad Jesenicami;Karavanke;784;2;['vrh']
Kamnati vrh;Karavanke;1658;2;['vrh']
Kamnek;Karavanke;873;6;['vrh']
Kamnitnik;Karavanke;1858;2;['vrh']
Kapelica Marijina roka (Stenica);Karavanke;1055;2;['cerkev']
Kapelica Srca Jezusovega (Jelendol);Karavanke;807;1;['cerkev']
Kapelica sv. Barbare na Pejcah;Karavanke;750;1;['cerkev']
Kepa;Karavanke;2143;9;['vrh']
Klek;Karavanke;1753;8;['vrh']
Koča na Golici;Karavanke;1582;5;['koča', 'planina']
Koča na Ljubelju;Karavanke;1370;3;['koča', 'sedlo']
Koča na Naravskih ledinah;Karavanke;1072;8;['koča']
Koča na Pikovem;Karavanke;992;8;['koča', 'cerkev']
Koča na planini Preval-a;Karavanke;1311;4;['koča', 'planina']
Koča Pr Zdravc;Karavanke;1448;5;['koča']
Koča Vrtača;Karavanke;1288;1;['koča']
Kofce gora;Karavanke;1967;6;['vrh']
Končnikov vrh;Karavanke;2109;10;['vrh']
Kordeževa glava (Peca);Karavanke;2125;22;['vrh']
Košutica;Karavanke;1968;8;['vrh']
Košutnikov turn;Karavanke;2133;8;['vrh']
Kozjek;Karavanke;766;3;['vrh']
Kozjek (nad Socko);Karavanke;748;1;['vrh']
Krajnikov grad;Karavanke;549;1;['vrh']
Kresišče;Karavanke;1839;4;['vrh']
Kršiše;Karavanke;790;2;['vrh']
Krvavka;Karavanke;1784;1;['vrh']
Kušpergarjev turn (Kušpergarjevi turni);Karavanke;750;1;['vrh']
Leški cerkvi;Karavanke;674;2;['cerkev']
Lindeški slap;Karavanke;555;1;['slap']
Ljubična gora;Karavanke;533;2;['vrh', 'cerkev']
Lokovnikov Grintovec / Grintoutz;Karavanke;1809;5;['vrh']
Lovska koča na Brvogih;Karavanke;1425;1;['']
Lovska koča nad Doslovško planino;Karavanke;1325;2;['']
Lovska koča Stanič;Karavanke;1280;1;['planina']
Lovska koča Štepih;Karavanke;825;4;['']
Lubela;Karavanke;778;2;['vrh']
Maceljska gora;Karavanke;718;4;['vrh']
Mala Boncla (Bavha);Karavanke;1131;1;['vrh']
Mala Golica;Karavanke;1646;2;['vrh']
Mala Košuta;Karavanke;1740;2;['vrh']
Mala Peca;Karavanke;1731;3;['vrh']
Mali Javornik;Karavanke;1685;1;['vrh']
Mali Juhej;Karavanke;820;1;['vrh']
Mali vrh;Karavanke;2017;1;['vrh']
Malnež;Karavanke;846;1;['vrh']
Malo Kladivo;Karavanke;2036;3;['vrh']
Maloško poldne / Mallestiger Mittagskogel;Karavanke;1823;4;['vrh']
Markljev Rovt;Karavanke;1250;1;['planina']
Medvodnica;Karavanke;1202;2;['vrh']
Mirca;Karavanke;1025;2;['vrh']
Močnikova planina;Karavanke;1275;1;['planina']
Mojstrovica;Karavanke;1816;2;['vrh']
Mornova zijalka;Karavanke;550;1;['']
Murnovc;Karavanke;1866;1;['vrh']
Na Možeh;Karavanke;1784;1;['vrh']
