Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Lovsko zavetišče Kolombar;Goriško, Notranjsko in Snežniško hribovje;218;2;['koča']
Lovsko zavetišče pod Čavnom;Goriško, Notranjsko in Snežniško hribovje;980;1;['vrh', 'bivak']
Maj;Goriško, Notranjsko in Snežniško hribovje;1142;1;['vrh']
Mala gora;Goriško, Notranjsko in Snežniško hribovje;1034;4;['vrh', 'koča']
Mala Plešivica;Goriško, Notranjsko in Snežniško hribovje;953;2;['vrh']
Mali Golak;Goriško, Notranjsko in Snežniško hribovje;1495;5;['vrh']
Mali Javornik (Javorniki);Goriško, Notranjsko in Snežniško hribovje;1219;2;['vrh']
Mali Modrasovec;Goriško, Notranjsko in Snežniško hribovje;1305;3;['vrh']
Mali Mošenik;Goriško, Notranjsko in Snežniško hribovje;700;1;['vrh']
Mali Snežnik;Goriško, Notranjsko in Snežniško hribovje;1694;4;['vrh']
Mali Trebelnik;Goriško, Notranjsko in Snežniško hribovje;807;2;['vrh']
Marezige;Goriško, Notranjsko in Snežniško hribovje;284;2;['vrh', 'koča', 'cerkev']
Marija Snežna na Gradišcah;Goriško, Notranjsko in Snežniško hribovje;467;2;['vrh', 'cerkev']
Marutnik;Goriško, Notranjsko in Snežniško hribovje;892;2;['vrh']
Medvedje Brdo;Goriško, Notranjsko in Snežniško hribovje;814;6;['vrh', 'cerkev']
Medvižica;Goriško, Notranjsko in Snežniško hribovje;1081;2;['vrh']
Mengore;Goriško, Notranjsko in Snežniško hribovje;453;2;['vrh', 'cerkev']
Milanka;Goriško, Notranjsko in Snežniško hribovje;948;1;['vrh']
Mišnice;Goriško, Notranjsko in Snežniško hribovje;961;2;['vrh']
Mokrc;Goriško, Notranjsko in Snežniško hribovje;1059;1;['vrh']
Mrzovec;Goriško, Notranjsko in Snežniško hribovje;1410;5;['vrh']
Na gradu;Goriško, Notranjsko in Snežniško hribovje;1115;2;['vrh']
Nadglavinjak;Goriško, Notranjsko in Snežniško hribovje;888;1;['vrh']
Nagnoj;Goriško, Notranjsko in Snežniško hribovje;1193;2;['vrh']
Navrše;Goriško, Notranjsko in Snežniško hribovje;857;3;['vrh']
Novaška gora;Goriško, Notranjsko in Snežniško hribovje;998;1;['vrh']
Obrovnik;Goriško, Notranjsko in Snežniško hribovje;700;1;['vrh']
Očna;Goriško, Notranjsko in Snežniško hribovje;906;2;['vrh']
Orlovo gnezdo (Veli Badin);Goriško, Notranjsko in Snežniško hribovje;359;2;['vrh']
Ortneški Stari grad;Goriško, Notranjsko in Snežniško hribovje;765;1;['vrh', 'cerkev']
Osojnica;Goriško, Notranjsko in Snežniško hribovje;820;2;['vrh']
Ostrič;Goriško, Notranjsko in Snežniško hribovje;1056;1;['vrh']
Otliški maj;Goriško, Notranjsko in Snežniško hribovje;847;3;['vrh']
Otliško okno;Goriško, Notranjsko in Snežniško hribovje;800;3;['']
Partizanska bolnica Krvavice;Goriško, Notranjsko in Snežniško hribovje;620;1;['']
Pečna reber;Goriško, Notranjsko in Snežniško hribovje;763;1;['vrh', 'koča']
Petelinjek;Goriško, Notranjsko in Snežniško hribovje;1212;2;['vrh']
Petelinjsko jezero;Goriško, Notranjsko in Snežniško hribovje;530;1;['jezero']
Petričev hrib;Goriško, Notranjsko in Snežniško hribovje;937;4;['vrh']
Pirnatova koča na Javorniku;Goriško, Notranjsko in Snežniško hribovje;1156;6;['koča']
Planina Jegno;Goriško, Notranjsko in Snežniško hribovje;715;1;['planina']
Planinska jama;Goriško, Notranjsko in Snežniško hribovje;500;1;['']
Planinski dom na Kureščku;Goriško, Notranjsko in Snežniško hribovje;760;3;['koča']
Planinski dom pod Ježo;Goriško, Notranjsko in Snežniško hribovje;740;1;['koča']
Planinski dom v Novem Svetu;Goriško, Notranjsko in Snežniško hribovje;518;1;['koča']
Plaz;Goriško, Notranjsko in Snežniško hribovje;528;1;['vrh']
Podrta gora nad Ajdovščino;Goriško, Notranjsko in Snežniško hribovje;827;3;['vrh']
Poldanovec;Goriško, Notranjsko in Snežniško hribovje;1299;3;['vrh']
Polšakova koča na Zagori;Goriško, Notranjsko in Snežniško hribovje;822;2;['']
Pomjan;Goriško, Notranjsko in Snežniško hribovje;360;2;['vrh', 'cerkev']
Primož;Goriško, Notranjsko in Snežniško hribovje;718;2;['vrh']
Prižnica;Goriško, Notranjsko in Snežniško hribovje;383;2;['vrh']
Racna gora;Goriško, Notranjsko in Snežniško hribovje;1140;2;['vrh']
Rajna peč;Goriško, Notranjsko in Snežniško hribovje;656;1;['vrh']
Rakitna;Goriško, Notranjsko in Snežniško hribovje;789;2;['koča', 'jezero', 'cerkev']
Rakov Škocjan;Goriško, Notranjsko in Snežniško hribovje;517;3;['']
Razgledna točka Široko;Goriško, Notranjsko in Snežniško hribovje;755;1;['vrh']
Razsušica;Goriško, Notranjsko in Snežniško hribovje;1083;1;['vrh']
Renški vrh;Goriško, Notranjsko in Snežniško hribovje;449;1;['vrh']
Rezinski vrh;Goriško, Notranjsko in Snežniško hribovje;1231;1;['vrh']
Rimska trdnjava (Lanišče);Goriško, Notranjsko in Snežniško hribovje;635;1;['']
Rotovc;Goriško, Notranjsko in Snežniško hribovje;964;4;['vrh']
Sabotin;Goriško, Notranjsko in Snežniško hribovje;609;5;['vrh']
Sekirica;Goriško, Notranjsko in Snežniško hribovje;545;2;['vrh']
Sekulak;Goriško, Notranjsko in Snežniško hribovje;888;3;['']
Šenčurjev vrh;Goriško, Notranjsko in Snežniško hribovje;725;2;['vrh']
Šilentabor;Goriško, Notranjsko in Snežniško hribovje;751;6;['vrh']
Sinji vrh;Goriško, Notranjsko in Snežniško hribovje;1002;11;['vrh']
Škabrijel;Goriško, Notranjsko in Snežniško hribovje;646;6;['vrh']
Škavnica;Goriško, Notranjsko in Snežniško hribovje;734;1;['vrh']
Škol;Goriško, Notranjsko in Snežniško hribovje;1182;1;['vrh']
Školj sv. Pavla nad Vrtovinom;Goriško, Notranjsko in Snežniško hribovje;520;4;['vrh', 'cerkev']
Skozno;Goriško, Notranjsko in Snežniško hribovje;671;2;['']
Skrivski izvir;Goriško, Notranjsko in Snežniško hribovje;500;1;['']
Slap Kotel;Goriško, Notranjsko in Snežniško hribovje;799;1;['slap', 'jezero']
Slap potoka Struga;Goriško, Notranjsko in Snežniško hribovje;105;1;['slap']
Slavnik;Goriško, Notranjsko in Snežniško hribovje;1028;7;['vrh', 'koča']
Slivnica;Goriško, Notranjsko in Snežniško hribovje;1114;6;['vrh']
Smrekov vrh;Goriško, Notranjsko in Snežniško hribovje;1449;1;['vrh']
Snežnik;Goriško, Notranjsko in Snežniško hribovje;1796;12;['vrh', 'koča']
Sončnica (Reber);Goriško, Notranjsko in Snežniško hribovje;867;3;['vrh']
Soteska Pekel 3. slap;Goriško, Notranjsko in Snežniško hribovje;445;1;['slap', 'jezero']
Soteska Pekel 5. slap;Goriško, Notranjsko in Snežniško hribovje;570;2;['slap']
Špičasti vrh;Goriško, Notranjsko in Snežniško hribovje;1128;3;['vrh']
Špiček (Špečk);Goriško, Notranjsko in Snežniško hribovje;986;3;['vrh']
Špilnik;Goriško, Notranjsko in Snežniško hribovje;1018;2;['vrh']
Srednja gora (Hrušica);Goriško, Notranjsko in Snežniško hribovje;1275;2;['vrh']
Srednji Golak;Goriško, Notranjsko in Snežniško hribovje;1480;3;['vrh']
Srednji vrh pri Kozleku;Goriško, Notranjsko in Snežniško hribovje;923;2;['vrh']
Štanjel (Sveti Danijel);Goriško, Notranjsko in Snežniško hribovje;553;1;['vrh']
Stanov rob;Goriško, Notranjsko in Snežniško hribovje;1191;2;['vrh']
Stari grad;Goriško, Notranjsko in Snežniško hribovje;703;1;['vrh']
Stari grad nad Želimljami;Goriško, Notranjsko in Snežniško hribovje;555;1;['vrh']
Stari grad Vipava;Goriško, Notranjsko in Snežniško hribovje;241;1;['vrh']
Stari tabor;Goriško, Notranjsko in Snežniško hribovje;603;6;['vrh']
Štivanski log;Goriško, Notranjsko in Snežniško hribovje;530;1;['jezero']
Stjenkova koča na Trstelju;Goriško, Notranjsko in Snežniško hribovje;610;8;['koča']
Stol (Črni hribi);Goriško, Notranjsko in Snežniško hribovje;629;1;['vrh']
Stolovec;Goriško, Notranjsko in Snežniško hribovje;563;1;['vrh']
Streliški vrh (Hrušica);Goriško, Notranjsko in Snežniško hribovje;1266;2;['vrh']
Strmica;Goriško, Notranjsko in Snežniško hribovje;626;1;['vrh']
Strunjanske soline;Goriško, Notranjsko in Snežniško hribovje;2;2;['']
Strunjanski križ;Goriško, Notranjsko in Snežniško hribovje;53;3;['vrh']
Suhi vrh (Nanos);Goriško, Notranjsko in Snežniško hribovje;1313;10;['vrh']
Sv. Katarina nad Novokračinami;Goriško, Notranjsko in Snežniško hribovje;675;2;['vrh', 'cerkev']
Sveta Ana;Goriško, Notranjsko in Snežniško hribovje;484;3;['vrh', 'cerkev']
Sveta Ana (Razguri);Goriško, Notranjsko in Snežniško hribovje;560;1;['vrh', 'jezero', 'cerkev']
Sveta Barbara (Ravnik pri Hotedršici);Goriško, Notranjsko in Snežniško hribovje;674;1;['vrh', 'cerkev']
Sveta Gora;Goriško, Notranjsko in Snežniško hribovje;681;13;['vrh', 'koča', 'cerkev']
Sveta Marija Magdalena (Gore);Goriško, Notranjsko in Snežniško hribovje;851;2;['vrh', 'cerkev']
Sveta Marija na Planinski gori;Goriško, Notranjsko in Snežniško hribovje;782;4;['cerkev']
Sveta Trojica;Goriško, Notranjsko in Snežniško hribovje;1106;4;['vrh']
Sveti Ambrož (Tabor);Goriško, Notranjsko in Snežniško hribovje;531;2;['vrh']
Sveti Bric (Nanos);Goriško, Notranjsko in Snežniško hribovje;965;2;['cerkev']
Sveti Duh (Hrušica);Goriško, Notranjsko in Snežniško hribovje;1221;2;['vrh', 'cerkev']
Sveti Duh (Pedrovo);Goriško, Notranjsko in Snežniško hribovje;365;2;['cerkev']
Sveti Duh (Sveti Peter);Goriško, Notranjsko in Snežniško hribovje;253;2;['vrh', 'cerkev']
Sveti Gregor na Dobravici;Goriško, Notranjsko in Snežniško hribovje;432;1;['cerkev']
Sveti Gregor na Slemenih;Goriško, Notranjsko in Snežniško hribovje;737;1;['vrh', 'koča', 'cerkev']
Sveti Hieronim;Goriško, Notranjsko in Snežniško hribovje;1020;7;['cerkev']
Sveti Janez Krstnik (Goropeke);Goriško, Notranjsko in Snežniško hribovje;682;1;['cerkev']
Sveti Jožef (Mlečnik);Goriško, Notranjsko in Snežniško hribovje;441;1;['vrh', 'cerkev']
Sveti Kvirik;Goriško, Notranjsko in Snežniško hribovje;408;2;['vrh', 'cerkev']
Sveti Kvirin na Paljevem;Goriško, Notranjsko in Snežniško hribovje;321;2;['cerkev']
Sveti Lenart (Krvava Peč);Goriško, Notranjsko in Snežniško hribovje;805;5;['vrh', 'cerkev']
Sveti Lovrenc (Jezero);Goriško, Notranjsko in Snežniško hribovje;329;1;['vrh', 'cerkev']
Sveti Martin (Šilentabor);Goriško, Notranjsko in Snežniško hribovje;723;4;['cerkev']
Sveti Miklavž nad Vipavo;Goriško, Notranjsko in Snežniško hribovje;438;2;['cerkev']
Sveti Pavel (nad Ročinjem);Goriško, Notranjsko in Snežniško hribovje;403;3;['vrh', 'cerkev']
Sveti Peter (Nad Ajbo);Goriško, Notranjsko in Snežniško hribovje;260;1;['vrh', 'cerkev']
Sveti Primož in Felicijan (Osredek);Goriško, Notranjsko in Snežniško hribovje;751;1;['vrh', 'koča', 'cerkev']
Sveti Rupert nad Drago;Goriško, Notranjsko in Snežniško hribovje;409;1;['vrh', 'cerkev']
Sveti Socerb (Artviže);Goriško, Notranjsko in Snežniško hribovje;817;3;['vrh', 'cerkev']
Sveti Socerb (Vipavska brda);Goriško, Notranjsko in Snežniško hribovje;555;2;['vrh', 'cerkev']
Sveti Štefan (Zanigrad);Goriško, Notranjsko in Snežniško hribovje;246;2;['cerkev']
Sveti Tomaž (Planinca);Goriško, Notranjsko in Snežniško hribovje;572;3;['cerkev']
Sveti Urh (Zavratec);Goriško, Notranjsko in Snežniško hribovje;724;3;['cerkev']
Sveti Vid (Vidovska planota);Goriško, Notranjsko in Snežniško hribovje;846;3;['vrh', 'cerkev']
Tinjan;Goriško, Notranjsko in Snežniško hribovje;374;6;['vrh', 'cerkev']
Trenk;Goriško, Notranjsko in Snežniško hribovje;769;1;['']
Tri učke;Goriško, Notranjsko in Snežniško hribovje;499;3;['vrh']
Trinški vrh;Goriško, Notranjsko in Snežniško hribovje;1138;2;['vrh']
Trstelj;Goriško, Notranjsko in Snežniško hribovje;643;9;['vrh']
Tupla jama;Goriško, Notranjsko in Snežniško hribovje;450;1;['']
Turn;Goriško, Notranjsko in Snežniško hribovje;1254;1;['vrh']
Udornica Risnik;Goriško, Notranjsko in Snežniško hribovje;366;1;['']
Ulovka;Goriško, Notranjsko in Snežniško hribovje;801;3;['vrh']
Unška koliševka;Goriško, Notranjsko in Snežniško hribovje;594;1;['']
Vanganelsko jezero;Goriško, Notranjsko in Snežniško hribovje;55;1;['jezero']
Velika Jazbina;Goriško, Notranjsko in Snežniško hribovje;1201;1;['vrh']
Velika ledena jama v Paradani;Goriško, Notranjsko in Snežniško hribovje;1140;1;['']
Velika Milanja;Goriško, Notranjsko in Snežniško hribovje;1099;1;['vrh']
Velika Plešivica;Goriško, Notranjsko in Snežniško hribovje;908;2;['vrh']
Velika Špička;Goriško, Notranjsko in Snežniško hribovje;955;4;['vrh']
Veliki Gradež;Goriško, Notranjsko in Snežniško hribovje;507;3;['vrh']
Veliki hrib (kota 526);Goriško, Notranjsko in Snežniško hribovje;526;1;['vrh']
Veliki Javornik (Javorniki);Goriško, Notranjsko in Snežniško hribovje;1268;3;['vrh']
Veliki Medvejk / Monte Orsario;Goriško, Notranjsko in Snežniško hribovje;472;1;['vrh']
Veliki Modrasovec;Goriško, Notranjsko in Snežniško hribovje;1353;7;['vrh']
Veliki Rob;Goriško, Notranjsko in Snežniško hribovje;1237;10;['vrh']
Veliki vrh (Črni hribi);Goriško, Notranjsko in Snežniško hribovje;463;2;['vrh']
Veliki vrh (nad Lomom);Goriško, Notranjsko in Snežniško hribovje;1071;4;['vrh']
Veliko Cerje;Goriško, Notranjsko in Snežniško hribovje;343;3;['vrh']
Veliko Gradišče;Goriško, Notranjsko in Snežniško hribovje;742;2;['vrh']
Vitovski hrib;Goriško, Notranjsko in Snežniško hribovje;604;4;['vrh', 'cerkev']
Vitovsko jezero;Goriško, Notranjsko in Snežniško hribovje;445;1;['jezero']
Vodice;Goriško, Notranjsko in Snežniško hribovje;651;11;['vrh']
Vojkova koča na Nanosu;Goriško, Notranjsko in Snežniško hribovje;1240;16;['vrh', 'koča']
Volnik;Goriško, Notranjsko in Snežniško hribovje;546;1;['vrh']
Volovja reber;Goriško, Notranjsko in Snežniško hribovje;975;1;['vrh']
Vremščica;Goriško, Notranjsko in Snežniško hribovje;1027;8;['vrh']
Vrh;Goriško, Notranjsko in Snežniško hribovje;777;1;['vrh']
Vrh križa;Goriško, Notranjsko in Snežniško hribovje;411;3;['vrh']
Vrh Skopice;Goriško, Notranjsko in Snežniško hribovje;863;2;['vrh']
Vrh Svetih Treh Kraljev;Goriško, Notranjsko in Snežniško hribovje;884;9;['vrh', 'cerkev']
Vrtovka;Goriško, Notranjsko in Snežniško hribovje;502;1;['vrh']
Žalostna gora pri Preserju;Goriško, Notranjsko in Snežniško hribovje;418;2;['vrh', 'cerkev']
Zavetišče na Koradi;Goriško, Notranjsko in Snežniško hribovje;803;2;['koča']
Zidovnik (Sedovnik);Goriško, Notranjsko in Snežniško hribovje;575;1;['vrh']
Zjat;Goriško, Notranjsko in Snežniško hribovje;449;5;['vrh']
Županov vrh;Goriško, Notranjsko in Snežniško hribovje;999;6;['vrh']
Ablanca;Julijske Alpe;2004;9;['vrh']
Adam;Julijske Alpe;2012;1;['vrh']
Ajdovski gradec;Julijske Alpe;580;2;['vrh']
Aljažev dom v Vratih;Julijske Alpe;1015;1;['koča', 'bivak', 'cerkev']
Batognica;Julijske Alpe;2164;9;['vrh']
Bavški Grintavec;Julijske Alpe;2347;3;['vrh']
Bedančev dom;Julijske Alpe;1116;1;['koča']
Begunjski vrh;Julijske Alpe;2461;6;['vrh']
Bela glava;Julijske Alpe;1926;1;['vrh']
Belopotoški slap;Julijske Alpe;720;1;['slap']
Belska planina;Julijske Alpe;1237;4;['planina']
Berjanca;Julijske Alpe;1264;5;['vrh']
Bivak Hlek;Julijske Alpe;1225;2;['bivak']
Bivak na Črniku;Julijske Alpe;1160;1;['bivak']
Bivak na Jezerih;Julijske Alpe;2118;1;['bivak']
